Image,Expert01,Expert02
qc_002_S_1268_20110413_redskull_bison,Pass,Pass
qc_002_S_1268_20120322_redskull_bison,,Pass
qc_002_S_1280_20070213_redskull_bison,,Pass
qc_002_S_1280_20070227_redskull_bison,Pass,Pass
qc_002_S_1280_20070823_redskull_bison,,Pass
qc_002_S_1280_20071010_redskull_bison,Pass,Pass
qc_002_S_1280_20080325_redskull_bison,,Fail
qc_002_S_1280_20090219_redskull_bison,,Fail
qc_002_S_1280_20100218_redskull_bison,,Fail
qc_002_S_1280_20110504_redskull_bison,Fail,Pass
qc_002_S_1280_20120301_redskull_bison,,Pass
qc_002_S_1280_20130226_redskull_bison,,Pass
qc_002_S_1280_20140314_redskull_bison,Pass,Pass
qc_002_S_2010_20100624_redskull_bison,Pass,Pass
qc_002_S_2010_20101022_redskull_bison,Pass,Pass
qc_002_S_2010_20110122_redskull_bison,,Pass
qc_002_S_2010_20110707_redskull_bison,,Pass
qc_002_S_2010_20120711_redskull_bison,Pass,Pass
qc_002_S_2010_20130718_redskull_bison,Pass,Pass
qc_002_S_2010_20150813_redskull_bison,,Fail
qc_002_S_2043_20100831_redskull_bison,,Pass
qc_002_S_2043_20101208_redskull_bison,,Pass
qc_002_S_2043_20110916_redskull_bison,,Pass
qc_002_S_2073_20100907_redskull_bison,,Pass
qc_002_S_2073_20101206_redskull_bison,,Pass
qc_002_S_2073_20110309_redskull_bison,,Fail
qc_002_S_2073_20110922_redskull_bison,Pass,Pass
qc_002_S_2073_20120911_redskull_bison,Pass,Pass
qc_002_S_2073_20131001_redskull_bison,Pass,Fail
qc_002_S_2073_20140917_redskull_bison,,Fail
qc_002_S_4171_20110808_redskull_bison,,Fail
qc_002_S_4171_20111117_redskull_bison,,Fail
qc_002_S_4171_20120229_redskull_bison,Fail,Fail
qc_002_S_4171_20120824_redskull_bison,,Fail
qc_002_S_4213_20110902_redskull_bison,,Pass
qc_002_S_4213_20111205_redskull_bison,,Pass
qc_002_S_4213_20120316_redskull_bison,,Pass
qc_002_S_4213_20120919_redskull_bison,Pass,Pass
qc_002_S_4213_20130917_redskull_bison,Pass,Pass
qc_002_S_4219_20110914_redskull_bison,Fail,Fail
qc_002_S_4219_20111215_redskull_bison,Fail,Fail
qc_002_S_4219_20120323_redskull_bison,,Fail
qc_002_S_4219_20121003_redskull_bison,Fail,Fail
qc_002_S_4225_20110921_redskull_bison,Pass,Fail
qc_002_S_4225_20111226_redskull_bison,,Pass
qc_002_S_4225_20120412_redskull_bison,,Fail
qc_002_S_4225_20121011_redskull_bison,Fail,Fail
qc_002_S_4225_20131017_redskull_bison,,Fail
qc_002_S_4229_20110921_redskull_bison,,Pass
qc_002_S_4229_20111221_redskull_bison,,Pass
qc_002_S_4229_20120410_redskull_bison,Pass,Pass
qc_002_S_4229_20120918_redskull_bison,,Pass
qc_002_S_4229_20131016_redskull_bison,Pass,Pass
qc_002_S_4237_20110926_redskull_bison,,Pass
qc_002_S_4237_20120118_redskull_bison,,Pass
qc_002_S_4237_20120503_redskull_bison,,Pass
qc_002_S_4237_20121101_redskull_bison,Pass,Pass
qc_002_S_4237_20131021_redskull_bison,Pass,Fail
qc_002_S_4251_20110926_redskull_bison,Fail,Fail
qc_002_S_4251_20111219_redskull_bison,,Fail
qc_002_S_4251_20120417_redskull_bison,,Fail
qc_002_S_4262_20111005_redskull_bison,Pass,Pass
qc_002_S_4262_20120102_redskull_bison,Pass,Pass
qc_002_S_4262_20120419_redskull_bison,Fail,Fail
qc_002_S_4262_20121025_redskull_bison,,Pass
qc_002_S_4262_20131106_redskull_bison,,Pass
qc_002_S_4264_20111005_redskull_bison,,Fail
qc_002_S_4270_20111011_redskull_bison,,Pass
qc_002_S_4270_20120110_redskull_bison,Pass,Pass
qc_002_S_4270_20120504_redskull_bison,Pass,Pass
qc_002_S_4270_20121114_redskull_bison,,Pass
qc_002_S_4270_20131114_redskull_bison,,Pass
qc_002_S_4447_20120117_redskull_bison,Pass,Pass
qc_002_S_4447_20120423_redskull_bison,Pass,Pass
qc_002_S_4447_20120814_redskull_bison,Pass,Pass
qc_002_S_4447_20130130_redskull_bison,Pass,Pass
qc_002_S_4447_20140214_redskull_bison,Pass,Pass
qc_002_S_4447_20150204_redskull_bison,Pass,Pass
qc_002_S_4473_20120210_redskull_bison,Pass,Pass
qc_002_S_4473_20120517_redskull_bison,Pass,Pass
qc_002_S_4473_20120823_redskull_bison,,Pass
qc_002_S_4473_20130205_redskull_bison,Pass,Pass
qc_002_S_4473_20140227_redskull_bison,,Pass
qc_002_S_4473_20150212_redskull_bison,Pass,Pass
qc_002_S_4521_20120217_redskull_bison,Pass,Pass
qc_002_S_4521_20120524_redskull_bison,,Pass
qc_002_S_4521_20120904_redskull_bison,,Pass
qc_002_S_4521_20130315_redskull_bison,,Pass
qc_002_S_4521_20140314_redskull_bison,Pass,Pass
qc_002_S_4521_20150219_redskull_bison,,Pass
qc_002_S_4654_20120405_redskull_bison,Fail,Fail
qc_002_S_4654_20120627_redskull_bison,,Fail
qc_002_S_4654_20121023_redskull_bison,Fail,Fail
qc_002_S_4654_20130416_redskull_bison,Fail,Fail
qc_002_S_4654_20140425_redskull_bison,,Fail
qc_002_S_4746_20120529_redskull_bison,,Pass
qc_002_S_4746_20120911_redskull_bison,,Fail
qc_002_S_4746_20121211_redskull_bison,,Fail
qc_002_S_4746_20130603_redskull_bison,Fail,Fail
qc_002_S_4799_20120621_redskull_bison,Pass,Pass
qc_002_S_4799_20120910_redskull_bison,Pass,Pass
qc_002_S_4799_20130110_redskull_bison,,Pass
qc_002_S_4799_20130702_redskull_bison,,Pass
qc_002_S_4799_20140703_redskull_bison,,Pass
qc_002_S_5018_20121108_redskull_bison,,Fail
qc_002_S_5018_20130211_redskull_bison,,Fail
qc_002_S_5018_20130516_redskull_bison,Fail,Fail
qc_002_S_5018_20131118_redskull_bison,Fail,Fail
qc_002_S_5178_20130516_redskull_bison,Fail,Fail
qc_002_S_5178_20130806_redskull_bison,Fail,Fail
qc_002_S_5178_20131205_redskull_bison,,Fail
qc_002_S_5230_20130627_redskull_bison,,Fail
qc_002_S_5230_20130923_redskull_bison,,Fail
qc_002_S_5230_20140124_redskull_bison,Fail,Fail
qc_002_S_5256_20130715_redskull_bison,,Pass
qc_003_S_0907_20060911_redskull_bison,,Fail
qc_003_S_0907_20070423_redskull_bison,,Fail
qc_003_S_0907_20071030_redskull_bison,,Fail
qc_003_S_0907_20081030_redskull_bison,,Fail
qc_003_S_0907_20091027_redskull_bison,,Fail
qc_003_S_0907_20101213_redskull_bison,,Fail
qc_003_S_0907_20120123_redskull_bison,,Fail
qc_003_S_0907_20130327_redskull_bison,,Fail
qc_003_S_0908_20060912_redskull_bison,,Pass
qc_003_S_0908_20070423_redskull_bison,,Pass
qc_003_S_0908_20071025_redskull_bison,,Pass
qc_003_S_0908_20080506_redskull_bison,,Pass
qc_003_S_0908_20081023_redskull_bison,,Pass
qc_003_S_0908_20091020_redskull_bison,,Pass
qc_003_S_0908_20101109_redskull_bison,,Pass
qc_003_S_0931_20061011_redskull_bison,,Fail
qc_003_S_0931_20070425_redskull_bison,,Fail
qc_003_S_0981_20061019_redskull_bison,,Fail
qc_003_S_0981_20070502_redskull_bison,,Fail
qc_003_S_0981_20071105_redskull_bison,,Fail
qc_003_S_0981_20081112_redskull_bison,,Fail
qc_003_S_0981_20110104_redskull_bison,,Fail
qc_003_S_0981_20120329_redskull_bison,,Fail
qc_003_S_0981_20130329_redskull_bison,,Fail
qc_003_S_0981_20140415_redskull_bison,,Fail
qc_003_S_1021_20061101_redskull_bison,,Fail
qc_003_S_1021_20070627_redskull_bison,,Fail
qc_003_S_1057_20061204_redskull_bison,,Pass
qc_003_S_1057_20071023_redskull_bison,,Pass
qc_003_S_1057_20080208_redskull_bison,,Pass
qc_003_S_1057_20090321_redskull_bison,,Fail
qc_003_S_1057_20100128_redskull_bison,,Pass
qc_003_S_1057_20110304_redskull_bison,,Fail
qc_003_S_1059_20061109_redskull_bison,,Fail
qc_003_S_1059_20070618_redskull_bison,,Fail
qc_003_S_1059_20081223_redskull_bison,,Fail
qc_003_S_1074_20061204_redskull_bison,,Fail
qc_003_S_1074_20080207_redskull_bison,,Fail
qc_003_S_1074_20080819_redskull_bison,,Fail
qc_003_S_1074_20090226_redskull_bison,,Fail
qc_003_S_1074_20100415_redskull_bison,,Fail
qc_003_S_1074_20130729_redskull_bison,,Fail
qc_003_S_1122_20061206_redskull_bison,Fail,Pass
qc_003_S_1122_20070720_redskull_bison,,Pass
qc_003_S_1122_20080130_redskull_bison,,Pass
qc_003_S_1122_20080703_redskull_bison,,Pass
qc_003_S_1122_20090109_redskull_bison,,Pass
qc_003_S_1122_20100129_redskull_bison,,Pass
qc_003_S_1122_20110225_redskull_bison,,Pass
qc_003_S_1122_20120120_redskull_bison,,Fail
qc_003_S_1122_20130118_redskull_bison,,Pass
qc_003_S_1122_20140127_redskull_bison,,Fail
qc_003_S_1257_20070301_redskull_bison,,Pass
qc_003_S_1257_20080515_redskull_bison,,Pass
qc_005_S_0221_20060222_redskull_bison,,Pass
qc_005_S_0221_20061006_redskull_bison,,Pass
qc_005_S_0221_20070321_redskull_bison,,Fail
qc_005_S_0221_20080424_redskull_bison,,Pass
qc_005_S_0222_20060221_redskull_bison,,Pass
qc_005_S_0222_20061003_redskull_bison,,Pass
qc_005_S_0222_20070418_redskull_bison,,Pass
qc_005_S_0222_20071005_redskull_bison,,Pass
qc_005_S_0222_20080327_redskull_bison,,Pass
qc_005_S_0223_20060228_redskull_bison,,Fail
qc_005_S_0223_20061011_redskull_bison,,Fail
qc_005_S_0223_20070317_redskull_bison,,Fail
qc_005_S_0223_20080318_redskull_bison,,Fail
qc_005_S_0223_20090506_redskull_bison,,Fail
qc_005_S_0324_20060330_redskull_bison,,Pass
qc_005_S_0324_20060421_redskull_bison,,Pass
qc_005_S_0324_20061031_redskull_bison,,Pass
qc_005_S_0324_20061113_redskull_bison,,Pass
qc_005_S_0324_20070504_redskull_bison,,Pass
qc_005_S_0324_20070509_redskull_bison,Pass,Pass
qc_005_S_0324_20071017_redskull_bison,,Pass
qc_005_S_0324_20071108_redskull_bison,,Pass
qc_005_S_0324_20080422_redskull_bison,,Pass
qc_005_S_0324_20080505_redskull_bison,Pass,Pass
qc_005_S_0324_20090601_redskull_bison,,Pass
qc_005_S_0448_20060504_redskull_bison,,Fail
qc_005_S_0448_20060522_redskull_bison,,Fail
qc_005_S_0448_20061115_redskull_bison,,Fail
qc_005_S_0448_20061208_redskull_bison,,Fail
qc_005_S_0448_20070530_redskull_bison,,Fail
qc_005_S_0448_20070713_redskull_bison,,Fail
qc_005_S_0448_20071127_redskull_bison,Fail,Fail
qc_005_S_0448_20071211_redskull_bison,,Fail
qc_005_S_0448_20080602_redskull_bison,,Fail
qc_005_S_0448_20080603_redskull_bison,,Fail
qc_005_S_0546_20060615_redskull_bison,,Pass
qc_005_S_0546_20070202_redskull_bison,,Pass
qc_005_S_0546_20070723_redskull_bison,,Fail
qc_005_S_0546_20080228_redskull_bison,,Fail
qc_005_S_0546_20080908_redskull_bison,,Pass
qc_005_S_0546_20090903_redskull_bison,,Pass
qc_005_S_0546_20101206_redskull_bison,,Pass
qc_005_S_0546_20111118_redskull_bison,,Fail
qc_005_S_0553_20060614_redskull_bison,,Pass
qc_005_S_0553_20060628_redskull_bison,Pass,Pass
qc_005_S_0553_20070104_redskull_bison,Pass,Pass
qc_005_S_0553_20070111_redskull_bison,,Pass
qc_005_S_0553_20070614_redskull_bison,Pass,Pass
qc_005_S_0553_20070802_redskull_bison,,Fail
qc_005_S_0553_20080708_redskull_bison,,Pass
qc_005_S_0553_20080821_redskull_bison,,Pass
qc_005_S_0553_20090915_redskull_bison,,Pass
qc_005_S_0553_20101013_redskull_bison,,Pass
qc_005_S_0553_20111116_redskull_bison,,Fail
qc_005_S_0572_20060620_redskull_bison,,Pass
qc_005_S_0572_20060731_redskull_bison,,Fail
qc_005_S_0572_20061227_redskull_bison,,Pass
qc_005_S_0572_20070709_redskull_bison,,Pass
qc_005_S_0572_20070727_redskull_bison,,Pass
qc_005_S_0572_20080110_redskull_bison,,Pass
qc_005_S_0572_20080204_redskull_bison,Fail,Fail
qc_005_S_0572_20080710_redskull_bison,,Pass
qc_005_S_0572_20080805_redskull_bison,,Pass
qc_005_S_0572_20090629_redskull_bison,,Pass
qc_005_S_0572_20090706_redskull_bison,,Fail
qc_005_S_0602_20060629_redskull_bison,,Pass
qc_005_S_0602_20060725_redskull_bison,Fail,Fail
qc_005_S_0602_20070117_redskull_bison,,Fail
qc_005_S_0602_20070206_redskull_bison,,Fail
