Image,Expert2,Expert1
mri1568_no_name_20070921_115430_4_mri_T1,Fail,Fail
mri1068_no_name_20090126_142059_3_mri_T1,Pass,Pass
mri1182_no_name_20100721_142450_3_mri_T1,Warning,Pass
mri1501_no_name_20101004_131459_4_mri_T1,Warning,Pass
mri1697_no_name_20111205_131446_2_mri_T1,Fail,Pass
mri1625_no_name_20090325_104625_3_mri_T1,Pass,Pass
mri1044_no_name_20111102_092113_2_mri_T1,Fail,Fail
mri1888_4935_20061128_150831_2_mri_T1,Pass,Pass
mri1837_no_name_20130925_075246_2_mri_T1,Fail,Pass
mri113_na985026_20121101_143641_17_mri_T1,Fail,Fail
mri1416_no_name_20060321_125903_4_mri_T1,Fail,Fail
mri1051_no_name_20100601_144805_4_mri_T1,Pass,Pass
mri156_no_name_20100803_074946_9_mri_T1,Fail,Fail
mri1496_no_name_20070827_145316_4_mri_T1,Fail,Fail
mri1295_no_name_20091023_124945_3_mri_T1,Pass,Pass
mri1593_no_name_20080325_141443_4_mri_T1,Fail,Fail
mri1006_no_name_20101019_130607_4_mri_T1,Pass,Pass
mri1127_no_name_20090708_100553_3_mri_T1,Fail,Pass
mri1848_no_name_20131014_090100_2_mri_T1,Fail,Fail
mri1646_no_name_20090817_111525_3_mri_T1,Pass,Pass
mri145_no_name_20100507_074909_6_mri_T1,Fail,Pass
mri1684_no_name_20110223_111343_2_mri_T1,Fail,Pass
mri1600_no_name_20110516_110630_2_mri_T1,Pass,Pass
mri1449_no_name_20100204_131705_4_mri_T1,Warning,Pass
mri101_na205201_20120119_100949_21_mri_T1,Pass,Fail
mri1700_no_name_20120130_130635_2_mri_T1,Warning,Pass
mri1164_no_name_20130528_123109_2_mri_T1,Pass,Pass
mri1218_no_name_20111004_143539_2_mri_T1,Pass,Pass
mri1469_no_name_20070405_140028_3_mri_T1,Fail,Fail
mri170_no_name_20100916_083109_8_mri_T1,Warning,Pass
mri135_no_name_20100908_160542_10_mri_T1,Pass,Pass
mri1282_no_name_20120118_125820_2_mri_T1,Pass,Pass
mri1397_no_name_20060308_114255_4_mri_T1,Pass,Pass
mri1091_no_name_20081219_141949_3_mri_T1,Pass,Pass
mri1710_no_name_20130621_131953_2_mri_T1,Pass,Pass
mri169_no_name_20101019_093450_7_mri_T1,Pass,Pass
mri165_no_name_20100818_080141_7_mri_T1,Pass,Pass
mri172_no_name_20101104_084154_7_mri_T1,Fail,Pass
mri127_no_name_20091202_085438_3_mri_T1,Warning,Pass
mri1424_no_name_20110725_082802_2_mri_T1,Pass,Pass
mri142_no_name_20100409_090847_7_mri_T1,Fail,Fail
mri1499_no_name_20070820_143245_4_mri_T1,Fail,Fail
mri1856_no_name_20131120_080018_2_mri_T1,Fail,Pass
mri1482_no_name_20070507_143121_4_mri_T1,Fail,Fail
mri1448_no_name_20061114_112922_5_mri_T1,Fail,Fail
mri162_no_name_20100805_075802_6_mri_T1,Warning,Pass
mri1657_no_name_20091019_130916_3_mri_T1,Pass,Pass
mri1329_no_name_20100621_111433_4_mri_T1,Pass,Pass
mri1247_no_name_20110908_132555_2_mri_T1,Warning,Fail
mri1664_no_name_20100205_111320_4_mri_T1,Warning,Pass
mri1854_no_name_20131113_075219_3_mri_T1,Fail,Pass
mri1406_no_name_20060320_114252_4_mri_T1,Pass,Pass
mri1687_no_name_20110809_113654_2_mri_T1,Pass,Pass
mri1460_no_name_20070118_110013_4_mri_T1,Fail,Fail
mri1105_no_name_20111102_101413_2_mri_T1,Pass,Pass
mri1119_no_name_20100504_140644_4_mri_T1,Fail,Fail
mri171_no_name_20101116_082313_9_mri_T1,Fail,Pass
mri1627_no_name_20090423_110457_3_mri_T1,Pass,Pass
mri1876_4935_20120613_130439_11_mri_T1,Fail,Pass
mri1500_no_name_20130222_113227_2_mri_T1,Pass,Pass
mri1701_no_name_20130201_110229_2_mri_T1,Pass,Pass
mri1317_no_name_20070122_095916_4_mri_T1,Fail,Fail
mri134_no_name_20100304_091512_6_mri_T1,Pass,Pass
mri1279_no_name_20090909_110811_3_mri_T1,Warning,Pass
mri1174_no_name_20100908_121620_4_mri_T1,Pass,Pass
mri1072_no_name_20100402_111831_4_mri_T1,Warning,Pass
mri1418_no_name_20060327_113338_4_mri_T1,Pass,Pass
mri114_na578878_20121114_142513_21_mri_T1,Pass,Fail
mri1043_no_name_20090422_142946_3_mri_T1,Pass,Pass
mri175_no_name_20110112_090848_15_mri_T1,Fail,Fail
mri1659_no_name_20091203_095938_3_mri_T1,Warning,Pass
mri1377_no_name_20100510_110938_4_mri_T1,Pass,Pass
mri1221_no_name_20120209_111625_2_mri_T1,Warning,Pass
mri13_na632364_20110517_131234_15_mri_T1,Pass,Fail
mri1569_no_name_20080421_151748_4_mri_T1,Fail,Fail
mri1868_no_name_20131213_090826_3_mri_T1,Warning,Pass
mri1114_no_name_20100614_141342_4_mri_T1,Pass,Pass
mri1417_no_name_20090313_131740_3_mri_T1,Pass,Pass
mri1011_no_name_20101005_121740_2_mri_T1,Pass,Pass
mri1041_no_name_20110721_101522_2_mri_T1,Warning,Pass
mri1681_no_name_20101006_131041_4_mri_T1,Warning,Pass
